cv,modelo,delta_full_minus_no_prior,delta_full_minus_only_prior
GroupKFold-5,GradientBoosting,0.013250883392226132,-0.23233215547703184
GroupKFold-5,KNN,0.01501766784452302,0.17226148409893996
GroupKFold-5,LogisticRegression,0.012367491166077715,-0.1554770318021202
GroupKFold-5,MLP,0.013250883392226132,-0.2358657243816255
GroupKFold-5,NaiveBayes,0.05653710247349819,-0.06890459363957602
GroupKFold-5,RandomForest,0.00795053003533569,-0.22349823321554774
GroupKFold-5,SVM_RBF,0.006183745583038858,-0.25706713780918733
LODO,GradientBoosting,0.04593639575971731,-0.30388692579505305
LODO,KNN,0.030918727915194344,0.14929328621908128
LODO,LogisticRegression,0.02385159010600707,-0.15812720848056538
LODO,MLP,-0.007067137809187274,-0.299469964664311
LODO,NaiveBayes,0.039752650176678395,-0.08745583038869265
LODO,RandomForest,0.00795053003533569,-0.2932862190812721
LODO,SVM_RBF,0.017667844522968212,-0.30653710247349825
