modelo,n_preds,accuracy,accuracy_ci_lo,accuracy_ci_hi,f1_macro,f1_macro_ci_lo,f1_macro_ci_hi,cenario,cv,n_features
NaiveBayes,1132,0.5618374558303887,0.5326855123674912,0.5910114840989399,0.5012968920747216,0.47053653893686337,0.5331454028463336,C_full,GroupKFold-5,31
LogisticRegression,1132,0.4752650176678445,0.44876325088339225,0.5053003533568905,0.4559306863214781,0.42843306091270716,0.4880697472112484,C_full,GroupKFold-5,31
RandomForest,1132,0.40724381625441697,0.37983657243816255,0.43551236749116606,0.36132264777193474,0.3323329368367446,0.39075178527408866,C_full,GroupKFold-5,31
GradientBoosting,1132,0.39840989399293286,0.36925795053003535,0.4249116607773852,0.34905525950825167,0.319993143703884,0.3779577546500157,C_full,GroupKFold-5,31
MLP,1132,0.3948763250883392,0.36746908127208483,0.42402826855123676,0.3557437171585896,0.32555027703026945,0.38414427824325836,C_full,GroupKFold-5,31
SVM_RBF,1132,0.3736749116607774,0.3462897526501767,0.4028268551236749,0.3311652994397745,0.30262686948801243,0.3596546801959256,C_full,GroupKFold-5,31
KNN,1132,0.3710247349823322,0.34363957597173145,0.39840989399293286,0.3508613964500958,0.3231573561095686,0.37855225445567076,C_full,GroupKFold-5,31
NaiveBayes,1132,0.5053003533568905,0.47700971731448766,0.534452296819788,0.4351245998596638,0.4055832659146811,0.4654012153335439,C_no_prior,GroupKFold-5,30
LogisticRegression,1132,0.4628975265017668,0.4363957597173145,0.4929328621908127,0.44708989152850204,0.4187990532527837,0.47859154069242194,C_no_prior,GroupKFold-5,30
RandomForest,1132,0.3992932862190813,0.37014134275618377,0.4284452296819788,0.35911472452296384,0.3300378684625328,0.38870010526129994,C_no_prior,GroupKFold-5,30
GradientBoosting,1132,0.38515901060070673,0.35600706713780916,0.4134275618374558,0.35150294292283846,0.322067843587766,0.38294391036922143,C_no_prior,GroupKFold-5,30
MLP,1132,0.38162544169611307,0.3551015901060071,0.4099160777385159,0.34042202162112,0.31232729205865295,0.369488909303574,C_no_prior,GroupKFold-5,30
SVM_RBF,1132,0.3674911660777385,0.3418727915194346,0.39399293286219084,0.3310618396026977,0.30352888179500703,0.3601316117875479,C_no_prior,GroupKFold-5,30
KNN,1132,0.35600706713780916,0.3295053003533569,0.38515901060070673,0.3381945033355947,0.3101742141752575,0.3677707061086412,C_no_prior,GroupKFold-5,30
GradientBoosting,1132,0.6307420494699647,0.6024734982332155,0.6581272084805654,0.5382225496486767,0.502713895679182,0.5718141138936915,C_only_prior,GroupKFold-5,1
LogisticRegression,1132,0.6307420494699647,0.6024734982332155,0.6581272084805654,0.5382225496486767,0.5046671507588657,0.5717203385639025,C_only_prior,GroupKFold-5,1
MLP,1132,0.6307420494699647,0.6033348056537102,0.657243816254417,0.5382225496486767,0.5025693792938378,0.5699346276580777,C_only_prior,GroupKFold-5,1
NaiveBayes,1132,0.6307420494699647,0.6042402826855123,0.661660777385159,0.5382225496486767,0.5074137741221372,0.5714709203885449,C_only_prior,GroupKFold-5,1
RandomForest,1132,0.6307420494699647,0.6042181978798586,0.6581272084805654,0.5382225496486767,0.5065279586292059,0.5709129976004621,C_only_prior,GroupKFold-5,1
SVM_RBF,1132,0.6307420494699647,0.6033348056537102,0.6581272084805654,0.5382225496486767,0.5080225984949316,0.5722220899936287,C_only_prior,GroupKFold-5,1
KNN,1132,0.19876325088339222,0.17579505300353357,0.2226148409893993,0.11233303150905122,0.10100798558283719,0.12428003285108527,C_only_prior,GroupKFold-5,1
NaiveBayes,1132,0.5432862190812721,0.515017667844523,0.5706934628975264,0.492851368176275,0.4595505919948167,0.5241918605488637,C_full,LODO,31
LogisticRegression,1132,0.4726148409893993,0.4416961130742049,0.5009054770318021,0.4575300789044996,0.42607592588259585,0.487134788950874,C_full,LODO,31
KNN,1132,0.3542402826855124,0.32685512367491165,0.38253091872791517,0.3395347483417365,0.3114046065337928,0.3667157388917573,C_full,LODO,31
RandomForest,1132,0.3374558303886926,0.31095406360424027,0.36486307420494696,0.3017244495613775,0.2758153446539108,0.32918619143580924,C_full,LODO,31
MLP,1132,0.33127208480565373,0.30212014134275617,0.3586572438162544,0.2965115178784343,0.2687249765508215,0.32324427512301834,C_full,LODO,31
GradientBoosting,1132,0.32685512367491165,0.30123674911660775,0.3542402826855124,0.27084881068980804,0.2460447156237633,0.2958869037218886,C_full,LODO,31
SVM_RBF,1132,0.32420494699646646,0.2968197879858657,0.35159010600706714,0.3006471734892788,0.27338777167313016,0.3282941605266117,C_full,LODO,31
NaiveBayes,1132,0.5035335689045937,0.4743816254416961,0.5318242049469964,0.44197600241187235,0.4105951404359969,0.4727826863018513,C_no_prior,LODO,30
LogisticRegression,1132,0.44876325088339225,0.41872791519434627,0.47791519434628976,0.441645261063301,0.4097292596305535,0.47206343320852323,C_no_prior,LODO,30
MLP,1132,0.338339222614841,0.3109319787985866,0.36484098939929327,0.3014747011335625,0.27307542819274283,0.3264079570070325,C_no_prior,LODO,30
RandomForest,1132,0.3295053003533569,0.3038648409893993,0.3568904593639576,0.2940663671189987,0.26774585861512845,0.3203230975234167,C_no_prior,LODO,30
KNN,1132,0.32332155477031804,0.2968197879858657,0.35159010600706714,0.3156355187664551,0.2889348986600056,0.3431043587048858,C_no_prior,LODO,30
SVM_RBF,1132,0.30653710247349825,0.28003533568904593,0.3339222614840989,0.2835787963447399,0.2554782164488644,0.30961878720574154,C_no_prior,LODO,30
GradientBoosting,1132,0.28091872791519434,0.25530035335689044,0.30653710247349825,0.22945394017986864,0.2059725249205936,0.2525477061528557,C_no_prior,LODO,30
GradientBoosting,1132,0.6307420494699647,0.6033568904593639,0.6607773851590106,0.5382225496486767,0.5078801630583077,0.5713473147574037,C_only_prior,LODO,1
LogisticRegression,1132,0.6307420494699647,0.6024734982332155,0.6598939929328622,0.5382225496486767,0.5047193555746738,0.5725516502343543,C_only_prior,LODO,1
MLP,1132,0.6307420494699647,0.6024734982332155,0.6581272084805654,0.5382225496486767,0.5047656081359642,0.5712074954254966,C_only_prior,LODO,1
NaiveBayes,1132,0.6307420494699647,0.6033568904593639,0.657243816254417,0.5382225496486767,0.5060209485871152,0.5711286576436454,C_only_prior,LODO,1
RandomForest,1132,0.6307420494699647,0.6042181978798586,0.657243816254417,0.5382225496486767,0.5065501725870771,0.5705858937207076,C_only_prior,LODO,1
SVM_RBF,1132,0.6307420494699647,0.6024734982332155,0.6590106007067138,0.5382225496486767,0.5035238284258212,0.5697530711234783,C_only_prior,LODO,1
KNN,1132,0.2049469964664311,0.18197879858657243,0.22970406360424026,0.11339198435972629,0.10264075734927752,0.12453080261735607,C_only_prior,LODO,1
