data_type,configuracao,n_features,modelo_ml,accuracy
real,baseline (apenas ML),25,RandomForest,0.4373
real,baseline (apenas ML),25,GradientBoosting,0.3254
real,baseline (apenas ML),25,LogisticRegression,0.4068
real,baseline (apenas ML),25,SVM_RBF,0.4169
real,baseline (apenas ML),25,KNN,0.4339
real,baseline (apenas ML),25,MLP,0.4102
real,baseline (apenas ML),25,NaiveBayes,0.3966
real,gemini-3-flash-preview (ML + LLM),25,RandomForest,0.4373
real,gemini-3-flash-preview (ML + LLM),25,GradientBoosting,0.3254
real,gemini-3-flash-preview (ML + LLM),25,LogisticRegression,0.4068
real,gemini-3-flash-preview (ML + LLM),25,SVM_RBF,0.4169
real,gemini-3-flash-preview (ML + LLM),25,KNN,0.4339
real,gemini-3-flash-preview (ML + LLM),25,MLP,0.4102
real,gemini-3-flash-preview (ML + LLM),25,NaiveBayes,0.3966
