experiment,data_type,n_samples,n_features,cv_method,split_method,best_accuracy,best_recall_mnar,avg_recall_mnar,cv_mean,cv_std,cv_variance_pct
ctx_baseline,real,1132,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.4034,0.56,0.3,0.4046021158553837,0.15524124776135592,38.36886701226337
step05_pro,sintetico,1200,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.7667,0.8484848484848485,0.7373737373737373,0.7425,0.039409447790642774,5.307669736113504
step05_pro,real,1132,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.4136,0.54,0.29714285714285715,0.39349248256264535,0.1708639388671807,43.42241502414944
step04_baseline,sintetico,1200,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.7667,0.8484848484848485,0.7373737373737373,0.7425,0.039409447790642774,5.307669736113504
step04_embeddings,sintetico,1200,31,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.7433,0.7575757575757576,0.6623376623376622,0.7346428571428572,0.03882163719464257,5.2844231475449295
step03,sintetico,1200,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.7667,0.8484848484848485,0.7373737373737373,0.7425,0.039409447790642774,5.307669736113504
step03,real,1132,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.5679,0.62,0.29999999999999993,0.36534239952762293,0.1669843711774959,45.70626661274515
step05,sintetico,1200,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.7667,0.8484848484848485,0.7373737373737373,0.7425,0.039409447790642774,5.307669736113504
step05,real,1132,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.4136,0.54,0.29714285714285715,0.39349248256264535,0.1708639388671807,43.42241502414944
step01_caafe_real,real,1132,25,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.4373,0.4,0.25142857142857145,0.40634106604667186,0.18805958652149077,46.28121601174578
step03_fix,real,1132,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.4136,0.54,0.29714285714285715,0.39349248256264535,0.1708639388671807,43.42241502414944
step03_final,real,1132,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.4136,0.54,0.29714285714285715,0.39349248256264535,0.1708639388671807,43.42241502414944
step02_eval,sintetico,1497,21,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.872,0.9071428571428573,0.8418367346938777,0.8639343844561235,0.022370809554727707,2.589410718825701
step04_caafe,sintetico,1200,25,Group 5-Fold (por dataset de origem),GroupShuffleSplit,0.7767,0.7878787878787878,0.70995670995671,0.7426190476190477,0.03929637619517643,5.291592818843892
