,accuracy,accuracy,accuracy,f1_macro,f1_macro,f1_macro,recall_MNAR,recall_MNAR,recall_MNAR,acc_level1,acc_level2
,mean,std,max,mean,std,max,mean,std,max,mean,mean
variante,,,,,,,,,,,
V1_direto_stat,0.3669,0.0433,0.4034,0.3775,0.0396,0.4251,0.3067,0.1338,0.56,,
V3_hier_hard,0.4305,0.0358,0.4814,0.4126,0.0331,0.4578,0.2622,0.1185,0.5,0.7981,0.4406
V3adv_fullprob,0.4301,0.0232,0.461,0.3768,0.0217,0.4123,0.06,0.0755,0.24,0.8023,0.4396
V3adv_hier_hard,0.4241,0.0218,0.4542,0.3802,0.0156,0.4005,0.0978,0.116,0.28,0.7981,0.4313
V3adv_soft3zone,0.4301,0.0232,0.461,0.3768,0.0217,0.4123,0.06,0.0755,0.24,0.8023,0.4396
V3adv_threshold,0.4211,0.0224,0.4508,0.3778,0.0211,0.4172,0.0978,0.116,0.28,0.8023,0.43
V3plus_fullprob,0.4418,0.0252,0.4712,0.4111,0.0358,0.4552,0.2022,0.1133,0.38,0.8023,0.4555
V3plus_soft3zone,0.4418,0.0252,0.4712,0.4111,0.0358,0.4552,0.2022,0.1133,0.38,0.8023,0.4555
V3plus_threshold,0.4282,0.0408,0.478,0.4109,0.0402,0.4608,0.2644,0.1178,0.5,0.8023,0.4405
