feature,mean_abs_shap_l1
mask_entropy,0.08397503332908866
X1_mean_diff,0.07077611348862436
X1_mannwhitney_pval,0.04644252700532557
log_pval_X1_mask,0.04056189464698508
mechdetect_mwu_pvalue,0.02553948396156716
auc_mask_from_Xobs,0.025174076160094785
mechdetect_auc_shuffled,0.024131185749671335
mechdetect_auc_excluded,0.023336797385935037
coef_X1_abs,0.023173112629785747
mechdetect_auc_complete,0.017147654076520236
X0_iqr_ratio,0.014725831692438754
mechdetect_delta_complete_shuffled,0.008831791806738007
mechdetect_delta_complete_excluded,0.007804432095576403
X0_missing_rate,0.007488499136116949
X0_mean_shift_X1_to_X4,0.007246278986116741
X0_obs_skew_diff,0.006924449418118419
X0_ks_obs_vs_imputed,0.006748427614456049
X0_obs_vs_full_ratio,0.0061127161801824
little_proxy_score,0.0057001539758692
X0_censoring_score,0.0
X0_tail_missing_ratio,0.0
